"Group","VendorFolder","ContractLocation","FilePath","Exists","SHA256","GroupVerdict","DocCounterparty","FolderFileCount","Classification","KeepFolder","RecommendedAction"
"Non-Disclosure Agreement (Designed Conveyor Systems, LLC and Advance Auto Parts).pdf","Advance Auto","01 Active Contracts","Advance Auto/Non-Disclosure Agreement (Designed Conveyor Systems, LLC and Advance Auto Parts).pdf","TRUE","5e2833b313d11319d49167447b9866163273a559b10e500e097b21ebaa3c19ad","IDENTICAL","Advance Stores Company, Incorporated","1","DUPLICATE-ALIAS-PAIR","Advance Auto Parts","Merge 'Advance Auto' into 'Advance Auto Parts'; delete twin"
"Non-Disclosure Agreement (Designed Conveyor Systems, LLC and Advance Auto Parts).pdf","Advance Auto Parts","01 Active Contracts","Advance Auto Parts/Non-Disclosure Agreement (Designed Conveyor Systems, LLC and Advance Auto Parts).pdf","TRUE","5e2833b313d11319d49167447b9866163273a559b10e500e097b21ebaa3c19ad","IDENTICAL","Advance Stores Company, Incorporated","1","DUPLICATE-ALIAS-PAIR","Advance Auto Parts","Merge 'Advance Auto' into 'Advance Auto Parts'; delete twin"
"Non-Disclosure Agreement - Capacity LLC_LD Signed (002).pdf","Capacity LLC","01 Active Contracts","Capacity LLC/Non-Disclosure Agreement - Capacity LLC_LD Signed (002).pdf","TRUE","ecec7ca543fde6f304e03fd2b49509c337550deceab454fb8b55afc269ff4d41","IDENTICAL","Capacity LLC","1","DUPLICATE-ALIAS-PAIR","Capacity LLC","Merge 'Capacity Logistics' into 'Capacity LLC'; delete twin"
"Non-Disclosure Agreement - Capacity LLC_LD Signed (002).pdf","Capacity Logistics","01 Active Contracts","Capacity Logistics/Non-Disclosure Agreement - Capacity LLC_LD Signed (002).pdf","TRUE","ecec7ca543fde6f304e03fd2b49509c337550deceab454fb8b55afc269ff4d41","IDENTICAL","Capacity LLC","1","DUPLICATE-ALIAS-PAIR","Capacity LLC","Merge 'Capacity Logistics' into 'Capacity LLC'; delete twin"
"OpenMoves Mutual Non-disclosure Agreement-DCS_Signed.pdf","OpenMoves","01 Active Contracts","OpenMoves/OpenMoves Mutual Non-disclosure Agreement-DCS_Signed.pdf","TRUE","cb8c66f8b2f44f913cd5f2e2d674e7cc8bc81bfc3e10972f63e29dcb69d3145a","IDENTICAL","OpenMoves LLC (p1 is an e-sign cover sheet)","1","DUPLICATE-ALIAS-PAIR","OpenMoves","Merge 'openMove' into 'OpenMoves'; delete twin"
"OpenMoves Mutual Non-disclosure Agreement-DCS_Signed.pdf","openMove","01 Active Contracts","openMove/OpenMoves Mutual Non-disclosure Agreement-DCS_Signed.pdf","TRUE","cb8c66f8b2f44f913cd5f2e2d674e7cc8bc81bfc3e10972f63e29dcb69d3145a","IDENTICAL","OpenMoves LLC (p1 is an e-sign cover sheet)","1","DUPLICATE-ALIAS-PAIR","OpenMoves","Merge 'openMove' into 'OpenMoves'; delete twin"
"RWSI - Master Services Agreement_Signed.pdf","RWSI","01 Active Contracts","RWSI/RWSI - Master Services Agreement_Signed.pdf","TRUE","4e376145274594962c41c57370c6d504ed69b02281c6afd4ce226fe3e689faed","IDENTICAL","Rand Worldwide Subsidiary, Inc.","1","DUPLICATE-ALIAS-PAIR","Rand Worldwide","RWSI = Rand Worldwide Subsidiary, Inc. Merge 'RWSI' into 'Rand Worldwide'; delete twin"
"RWSI - Master Services Agreement_Signed.pdf","Rand Worldwide","01 Active Contracts","Rand Worldwide/RWSI - Master Services Agreement_Signed.pdf","TRUE","4e376145274594962c41c57370c6d504ed69b02281c6afd4ce226fe3e689faed","IDENTICAL","Rand Worldwide Subsidiary, Inc.","1","DUPLICATE-ALIAS-PAIR","Rand Worldwide","RWSI = Rand Worldwide Subsidiary, Inc. Merge 'RWSI' into 'Rand Worldwide'; delete twin"
"SCS IT Mutual NDA Agreement (2025) - signed.pdf","Ryder","01 Active Contracts","Ryder/SCS IT Mutual NDA Agreement (2025) - signed.pdf","TRUE","73b7842ce841ef103af1f8a54d02ec2d880f7b1f230d543c4e973eb08b4fabdb","IDENTICAL","Ryder Integrated Logistics, Inc.","1","DUPLICATE-ALIAS-PAIR","Ryder","SCS IT = Ryder Supply Chain Solutions IT. Merge 'SCS IT' into 'Ryder'; delete twin"
"SCS IT Mutual NDA Agreement (2025) - signed.pdf","SCS IT","01 Active Contracts","SCS IT/SCS IT Mutual NDA Agreement (2025) - signed.pdf","TRUE","73b7842ce841ef103af1f8a54d02ec2d880f7b1f230d543c4e973eb08b4fabdb","IDENTICAL","Ryder Integrated Logistics, Inc.","1","DUPLICATE-ALIAS-PAIR","Ryder","SCS IT = Ryder Supply Chain Solutions IT. Merge 'SCS IT' into 'Ryder'; delete twin"
"Standard MNDA - Dot Foods Inc. - 2022.10.19 dcs executed.pdf","Automation Standard","01 Active Contracts","Automation Standard/Standard MNDA - Dot Foods Inc. - 2022.10.19 dcs executed.pdf","TRUE","51aeafbe99459df2284d2953cf86afde3eb008bef70086f348417a862c00d79f","IDENTICAL","DOT FOODS, INC.","3","MISFILE","DOT Foods","Doc is DOT FOODS, INC. Copy in 'Automation Standard' is a wrong-vendor misfile (likely matched on 'Standard'). Delete the Automation Standard copy; do NOT merge folders."
"Standard MNDA - Dot Foods Inc. - 2022.10.19 dcs executed.pdf","DOT Foods","01 Active Contracts","DOT Foods/Standard MNDA - Dot Foods Inc. - 2022.10.19 dcs executed.pdf","TRUE","51aeafbe99459df2284d2953cf86afde3eb008bef70086f348417a862c00d79f","IDENTICAL","DOT FOODS, INC.","1","MISFILE","DOT Foods","Doc is DOT FOODS, INC. Copy in 'Automation Standard' is a wrong-vendor misfile (likely matched on 'Standard'). Delete the Automation Standard copy; do NOT merge folders."
"Summary.pdf","Connors Group","01 Active Contracts","Connors Group/Summary.pdf","TRUE","d2754c064e4d953655bb1b3764560d4425793f18acf3174fd6e0e2a4a51b4e22","DIFFERENT","Connors and Associates, LLC (DocuSign cert, env 4BE9128B)","2","NAME-COLLISION","(keep all 3)","NOT duplicates. Three distinct DocuSign Certificate-of-Completion files (Connors, McKesson, ScanSource), each correctly filed. Generic filename only. KEEP ALL 3. FIX CATALOG: McKesson row's CounterpartyName wrongly reads 'Chief Operating Officer CONNORS AND ASSOCIATES, LLC'."
"Summary.pdf","McKesson","01 Active Contracts","McKesson/Summary.pdf","TRUE","295a5ef75217485a793351744ebc5a8fe9ca2ca53ec4f1961abf85ef9b7a2f2c","DIFFERENT","McKesson Corporation (DocuSign cert, env 2CE4B5FF)","2","NAME-COLLISION","(keep all 3)","NOT duplicates. Three distinct DocuSign Certificate-of-Completion files (Connors, McKesson, ScanSource), each correctly filed. Generic filename only. KEEP ALL 3. FIX CATALOG: McKesson row's CounterpartyName wrongly reads 'Chief Operating Officer CONNORS AND ASSOCIATES, LLC'."
"Summary.pdf","ScanSource","01 Active Contracts","ScanSource/Summary.pdf","TRUE","866bad7ab1e3e0169f100439a47279ae00bba37837397b6bbc5b579fb9f56d39","DIFFERENT","ScanSource, Inc. (DocuSign cert, env 5C7FC003)","6","NAME-COLLISION","(keep all 3)","NOT duplicates. Three distinct DocuSign Certificate-of-Completion files (Connors, McKesson, ScanSource), each correctly filed. Generic filename only. KEEP ALL 3. FIX CATALOG: McKesson row's CounterpartyName wrongly reads 'Chief Operating Officer CONNORS AND ASSOCIATES, LLC'."
"UNI Express  - DCS Mutual NDA - for execution - signed.pdf","UNI Express","01 Active Contracts","UNI Express/UNI Express  - DCS Mutual NDA - for execution - signed.pdf","TRUE","d6645b9e5e4dc46eb9adcc27264c28b4d3c08e0a3b89fc88e720caff11a4a8cd","IDENTICAL","Uni Express Inc.","1","DUPLICATE-ALIAS-PAIR","UNI Express","Doc is Uni Express Inc. (Richmond BC) - the entity behind the UniUni brand. Merge 'UniUni' into 'UNI Express'; delete twin. Confirm same entity with human."
"UNI Express  - DCS Mutual NDA - for execution - signed.pdf","UniUni","01 Active Contracts","UniUni/UNI Express  - DCS Mutual NDA - for execution - signed.pdf","TRUE","d6645b9e5e4dc46eb9adcc27264c28b4d3c08e0a3b89fc88e720caff11a4a8cd","IDENTICAL","Uni Express Inc.","2","DUPLICATE-ALIAS-PAIR","UNI Express","Doc is Uni Express Inc. (Richmond BC) - the entity behind the UniUni brand. Merge 'UniUni' into 'UNI Express'; delete twin. Confirm same entity with human."
